699;105901917;12504486000
700;958844164;398567121000
701;49516226;5097559000
702;2024347;228967000
703;3295655;426985000
704;1016291;153611000
705;23;267000
706;5938;2768000
707;414046;68579000
708;56;207000
709;7050143;2426488000
710;166682725;27608720000
711;53883271;25472754000
712;4596658;508822000
713;10089284;1050022999
714;78222146;10682969000
715;2;220000
716;5267;2374000
717;23387;9515000
718;53883271;25282788000
719;311464;138181000
720;569346;67457000
721;11750;4842000
722;2980035;327958000
723;1323002;599908000
724;3975887;412561000
725;2674442;1175892000
726;8;230000
727;84996;35512000
728;696532;313265000
729;7259361;1007215999
730;15;125000
731;1644219;171644000
732;137245;61146000
733;3033;421000
734;1599231;170985000
735;3659334;1731439000
736;3822987;449016000
737;39609445;7484454000
738;53883532;18043493000
739;949234;111460000
740;3926322;647649000
741;2521730;513623999
742;13161;2755000
743;761610;329517000
744;1671263;266528000
745;796428;119342000
746;771676;87585000
747;480682;61647000
748;110;300000
749;1051344;104932000
750;103432;13565000
751;636892;59428000
752;39264;17006000
753;2097300;320161000
754;1033124;193117000
755;14895138;6990049000
756;554525;252623000
757;1164381;277395000
758;3063058;302973000
759;1409679;231711000
760;16912;5965000
761;4293;784000
762;323065;35341000
763;76405;50210000
764;202527;34004000
765;5008960;561659000
766;1265322;579856000
767;22;186000
768;70352;29317000
769;783309;86659000
770;1375583;629347000
771;433028;202099000
772;2484925;540938000
773;16588;5065000
774;1029704;97342000
775;306780;73686000
776;4783;750000
777;413;226000
778;102306;29807000
779;53142;21772000
780;1286292;143387000
781;1225909;211152000
782;73132;39262000
783;17457608;7903604000
784;105493;43215000
785;6550;907000
786;9419;4104000
787;16172;6726000
788;30452;3766000
789;149063;24199000
790;104;257000
791;377209;81013000
792;45953;21581000
793;405;253000
794;1057461;334042000
795;247949;37718000
796;446067;70897000
797;499741;104971000
798;24268;19079000
799;13;159000
800;24;133000
801;11;159000
802;34595;13902000
803;71;138000
804;98563;40398000
805;2520538;259040000
806;28;165000
807;13030;5587000
808;576315;259166999
809;16;176000
810;16;132000
811;12;113000
812;528465;238166000
813;19961090;2431898000
814;3081;895000
815;1607;775000
816;680052;74210000
817;141984;13353000
818;2006726;844672000
819;179630;76084000
820;124;164000
821;1655;288000
822;150113;75821000
823;19430075;2023642999
824;970133;137526000
825;4434689;2127332000
826;41031;17084000
827;19069160;2071932000
828;19341438;2370004000
829;172137;46935000
830;61525;6447000
831;1670326;157251000
832;1713264;160881000
833;266176;56995000
834;2526106;409944000
835;7171;1305000
836;234699;28824000
837;1466;720000
838;411313;45626000
839;70346;8470000
840;11196;3315000
841;30306;5832000
842;62;103000
843;82;139000
844;43652;4129000
845;693;356000
846;77287;11594000
847;15531;3315000
848;2068494;895901000
849;88403;10186000
850;3065;1369000
851;260;181000
852;176;120000
853;15109;19446000
854;626020;287275000
855;574760;254381000
856;69469;6791000
857;582;324000
858;27;168000
859;805784;74967000
860;866243;82095000
861;1491;457000
862;158454;14226000
863;933981;408964000
864;10817;2047000
865;2485;1098000
866;154;213000
867;184377;62839999
868;4669;571000
869;84900;8605000
870;12586;5255000
871;281719;34087000
872;1243181;154723000
873;3320;783000
874;3991;1492000
875;382;182000
876;24111;2217000
877;10279;4428000
878;94526;20040000
879;45;139000
880;538470;241647000
881;6;182000
882;99151;41721000
883;3903;1734000
884;150737;65916000
885;1493105;139788000
886;133197;19841000
887;13861;1311000
888;11054;4683000
889;33970;15004000
890;10;146000
891;3470;335000
892;47014;7078000
893;16941;7215000
894;623;316000
895;444;106000
896;11019;2498000
897;981;345000
898;75520;8732000
899;26744;2589000
900;7832;2801000
901;59538;25534000
902;9766;4156000
903;18499841;2731760000
904;396347;173625000
905;525375;240279000
906;518859;230745000
907;1832505;175194000
908;16611881;1841605000
909;742859;67959000
910;742048;307903000
911;558667;254625000
912;561776;252294000
913;1008;522000
914;839242;165449000
915;469088;52368000
916;152169;41975000
917;1136249;151285000
918;620266;178652000
919;993367;102695000
920;997151;110983000
921;509535;222969000
922;100;207000
923;31322;13458000
924;30290;12791000
925;18421701;1932600000
1003;184339;16265000
1004;4691808;635363000
1005;1399;211000
1006;0;18000
1007;764;134000
1008;144264;13125000
1009;20;160000
1010;183;78000
1011;230708;19677000
1012;54;109000
1013;19069110;2058244000
1014;4097222;402483000
1015;54;128000
1016;0;29000
1017;233;47000
1018;195693;17037000
1019;71;91000
1020;153800;13813000
1021;198;70000
1022;211962;26557000
1023;5674;596000
1024;199974;17483000
1025;156;71000
1026;12562;1179000
1027;206964;17942000
1028;131;84000
1029;258263;21937000
1030;588515;55653000
1031;339;96000
1032;634;122000
1033;38580;3488000
1034;351;48000
1035;13692;1129000
1036;396024;42864000
1037;1382;186000
1038;10331;970000
1039;157591;14196000
1040;0;41000
1041;262144;22560000
1042;11686;1120000
1043;1;84000
1044;103530;8913000
1045;357;87000
1046;222258;26759000
1047;0;95000
1048;1335;159000
1049;10;52000
1050;14;51000
1051;82319;7444000
1052;3228908;314179000
1053;439921;46915000
1054;865713;82592000
1055;8;124000
1056;0;17000
1057;3842;351000
1058;524968;50236000
1059;71037;6568000
1060;421796;36935000
1061;74;75000
1062;4897;454000
1063;44786;3977999
1064;29171;2412000
1065;239574;20282000
1066;21182;1973000
1067;1;77000
1068;1;83000
1069;2109463;217674000
1070;63;86000
1071;4619;448000
1072;378575;33561000
1073;167373;20134000
1074;27333;2483000
1075;20;51000
1076;751;94000
1077;465556;40272000
1078;43647;3937999
1079;1094276;111751000
1080;37;93000
1081;309;71000
1082;0;30000
1083;1089;164000
1084;9641;905000
