0;1000;67187522461
1;1000;55150592
2;1000;3900724
3;1000;1866380
4;1000;29938350
5;57;1230754575
6;1000;14632196
7;1000;69630156
8;1000;20952898
9;1000;868966
10;1000;11932242
11;1000;5745893
12;1000;56862054
13;57;1241493980
14;1000;31822823
15;1000;160688847842
16;1000;8422875
17;1000;495493
18;1000;11559789
19;1000;11967160
20;0;3320068
21;1000;426693
22;1000;103003040
23;1000;1694164
24;1000;467935
25;1000;540148
26;1000;1452900
27;1000;703247
28;1000;795444
29;1000;894281744
30;1000;7775618
31;1000;44169431
32;1000;698484
33;1000;978530
34;1000;15298037
35;1000;3796854
36;183;15966056060
37;1000;19749051
38;1000;283353
39;1000;946072
40;1000;3697839
41;1000;1696763
43;1000;65501240
44;8;75884168
45;1000;9660593
46;229;131966574
47;0;1217466
48;71;107325007
51;1000;5333782
53;1000;2383863
55;1000;3572206
56;1000;33415310
57;0;76608170
58;83;67160968
59;79;67348676
60;1000;2262623
62;95;3615735
63;1000;1580125
64;1000;9616253
65;1000;2172660
66;0;9948635
67;0;2165084
69;20;4606077
71;1000;6281197
72;1000;36195198
73;1000;42219610
74;1000;7037143
75;1000;848452
78;1000;3511415
79;1000;643659
80;1000;2661987
81;1000;7345211
82;1000;3368789
83;25;3368763
84;200;53575175669
85;398;40002160248
86;692;46043065505
88;1000;13629848
90;1000;5898069
92;1000;17617999
93;1000;16409776
97;1000;5377654
100;1000;1077615
101;1000;6243872
102;1000;1923172
103;1000;11861152
104;41;3707636
109;0;169888
110;1000;7846405
111;1000;9411909
112;1000;1272171
114;1000;6571076
115;1000;2750860
117;1000;35678390
118;0;12859
119;0;9285
120;1000;46527387
123;1000;2635301
124;1000;1812382
127;1000;12267461
128;1000;1297589
129;1000;39756503
130;1000;5145114
131;605;2980473
133;1000;6936555
136;1;2731389
137;1;3329377
139;1000;5540305
142;1000;161538
149;1000;4581023
150;99;7295718
152;1000;5475619
153;1000;8865267
154;1000;2931786
156;365;622340
157;1000;331881
158;1000;35521561
159;1000;33928050
160;1000;35820749
161;1000;31724875
162;922;54772231
163;1000;963310
164;1000;857678
170;1000;1760055
171;1000;2412407
172;1000;2460914
173;1000;742307
176;1000;1432030
177;1000;13943627
183;1000;2949030
184;1000;1298550
185;1000;448928
188;1000;1034191
189;0;3303664514
192;1000;3001408
194;0;10364973
195;1000;2276451
197;1000;32812278
199;1000;2085523
203;1000;6030440
209;1000;2764923
210;1000;1446797
211;1000;11490605
212;1000;1965214
213;1000;9949309
215;0;17887
218;1000;292767
222;1000;1702925
224;1000;4770125
226;1000;748064
230;1000;727519
232;18;287688
234;1000;1089997
236;1000;15639530
237;1000;222859
239;57;118383
249;1000;3461199
250;1000;434313
252;1000;3124011
255;1000;3767502
259;1000;278375
264;1000;1403611
265;1000;19897590
266;1000;2135095
267;1000;1002895
268;1000;940217
271;0;5071
272;1000;1348941
274;1000;1370387
278;617;441439
281;1000;6405863
291;1000;950291
292;1000;3406845
296;1000;2717718
298;1000;10676261
303;1000;1114348
307;1000;1355267
311;1000;355561
319;1000;2694066
320;1000;1195915
322;1000;8300418
323;703;32060954
324;697;23941263
325;1000;8364169
327;1000;1291981
332;1000;545411
333;1000;187988
334;267;846276744
336;1000;3120649
341;1000;10427548
397;1000;45721151840
447;0;19347988
493;6;60090
592;54;36987490
688;1000;3800037
